X[s],"Trigno IM sensor 3: EMG 3 (IM)",X[s],"Trigno IM sensor 3: Mag 3.Z (IM)",X[s],"Trigno IM sensor 4: EMG 4 (IM)",X[s],"Trigno IM sensor 4: Mag 4.Z (IM)"
0.000000,7.721065E-06,0.000000,118,0.000000,-8.392462E-06,0.000000,-1
0.0009,-2.652018E-05,0.0135,118,0.0009,-6.042573E-06,0.0135,1
0.0018,-3.155566E-05,0.027,118,0.0018,1.611353E-05,0.027,1
0.0027,-1.141375E-05,0.0405,118,0.0027,9.063859E-06,0.0405,0
0.0036,-5.001907E-05,0.054,118,0.0036,1.309224E-05,0.054,1
0.0045,-3.860533E-05,0.0675,119,0.0045,6.378271E-06,0.0675,1
0.0054,-2.450599E-05,0.081,117,0.0054,7.049668E-06,0.081,0
0.0063,-3.088426E-05,0.0945,118,0.0063,-8.392462E-06,0.0945,-2
0.0072,-2.484169E-05,0.108,117,0.0072,-2.987716E-05,0.108,1
0.0081,-1.309224E-05,0.1215,116,0.0081,-2.954147E-05,0.1215,1
0.009000001,-2.685588E-05,0.135,118,0.009000001,-2.719158E-05,0.135,0
0.0099,2.081331E-05,0.1485,116,0.0099,-2.047761E-05,0.1485,0
0.0108,9.063859E-06,0.162,117,0.0108,-4.599069E-05,0.162,-1
0.0117,3.524834E-05,0.1755,118,0.0117,-4.129091E-05,0.1755,1
0.0126,1.174945E-05,0.189,118,0.0126,-3.826963E-05,0.189,-2
0.0135,1.577783E-05,0.2025,117,0.0135,-2.450599E-05,0.2025,0
0.0144,1.712062E-05,0.216,118,0.0144,-2.887007E-05,0.216,0
0.0153,1.242084E-05,0.2295,119,0.0153,-2.584878E-05,0.2295,1
0.0162,1.309224E-05,0.243,118,0.0162,-1.107805E-05,0.243,0
0.0171,-3.189136E-05,0.2565,119,0.0171,-2.24918E-05,0.2565,1
0.018,-3.390555E-05,0.27,119,0.018,-2.987716E-05,0.27,0
0.0189,-1.376364E-05,0.2835,117,0.0189,-1.443504E-05,0.2835,-3
0.0198,-8.728161E-06,0.297,119,0.0198,-2.24918E-05,0.297,0
0.0207,-1.879912E-05,0.3105,117,0.0207,-1.846342E-05,0.3105,-1
0.0216,-2.786297E-05,0.324,118,0.0216,-1.107805E-05,0.324,0
0.0225,-1.174945E-05,0.3375,118,0.0225,-1.846342E-05,0.3375,0
0.0234,1.309224E-05,0.351,118,0.0234,-3.323415E-05,0.351,0
0.0243,7.385367E-06,0.3645,119,0.0243,-5.001907E-05,0.3645,1
0.0252,-1.947051E-05,0.378,118,0.0252,-6.78111E-05,0.378,1
0.0261,-6.378271E-06,0.3915,118,0.0261,-5.874724E-05,0.3915,0
0.027,-1.409934E-05,0.405,117,0.027,-4.867628E-05,0.405,0
0.0279,2.685588E-06,0.4185,119,0.0279,3.356985E-06,0.4185,0
0.0288,7.385367E-06,0.432,118,0.0288,1.242084E-05,0.432,0
0.0297,-1.174945E-05,0.4455,117,0.0297,-9.399558E-06,0.4455,2
0.0306,-1.812772E-05,0.459,116,0.0306,2.1149E-05,0.459,-1
0.0315,-2.383459E-05,0.4725,116,0.0315,-1.376364E-05,0.4725,0
0.0324,2.383459E-05,0.486,118,0.0324,-4.49836E-05,0.486,-3
