X[s],"Trigno IM sensor 3: EMG 3 (IM)",X[s],"Trigno IM sensor 3: Mag 3.Z (IM)",X[s],"Trigno IM sensor 4: EMG 4 (IM)",X[s],"Trigno IM sensor 4: Mag 4.Z (IM)"
0.000000,-3.692683E-06,0.000000,112,0.000000,-1.980621E-05,0.000000,5
0.0009,4.36408E-06,0.0135,113,0.0009,2.484169E-05,0.0135,4
0.0018,-5.371176E-06,0.027,113,0.0018,1.007095E-05,0.027,4
0.0027,5.706874E-06,0.0405,113,0.0027,2.28275E-05,0.0405,3
0.0036,8.728161E-06,0.054,113,0.0036,3.659113E-05,0.054,5
0.0045,-1.309224E-05,0.0675,113,0.0045,3.524834E-05,0.0675,2
0.0054,9.735256E-06,0.081,111,0.0054,1.678492E-06,0.081,1
0.0063,-1.644922E-05,0.0945,113,0.0063,-8.728161E-06,0.0945,2
0.0072,-2.786297E-05,0.108,113,0.0072,-5.035477E-06,0.108,4
0.0081,6.713969E-07,0.1215,113,0.0081,-9.735256E-06,0.1215,6
0.009000001,-7.385367E-06,0.135,112,0.009000001,-2.786297E-05,0.135,5
0.0099,-3.356985E-07,0.1485,111,0.0099,-2.987716E-05,0.1485,8
0.0108,-3.390555E-05,0.162,113,0.0108,-3.256275E-05,0.162,5
0.0117,-3.390555E-05,0.1755,112,0.0117,-3.524834E-05,0.1755,5
0.0126,-3.121996E-05,0.189,112,0.0126,-3.692683E-06,0.189,5
0.0135,1.544213E-05,0.2025,110,0.0135,-2.853437E-05,0.2025,6
0.0144,4.36408E-06,0.216,113,0.0144,-4.196231E-05,0.216,2
0.0153,-2.417029E-05,0.2295,113,0.0153,-2.18204E-05,0.2295,6
0.0162,1.242084E-05,0.243,113,0.0162,-1.309224E-05,0.243,4
0.0171,5.471885E-05,0.2565,113,0.0171,-6.6804E-05,0.2565,1
0.018,1.544213E-05,0.27,114,0.018,-7.183947E-05,0.27,6
0.0189,4.36408E-06,0.2835,114,0.0189,-5.270466E-05,0.2835,2
0.0198,2.987716E-05,0.297,113,0.0198,-6.210422E-05,0.297,2
0.0207,-3.021286E-06,0.3105,113,0.0207,-6.411841E-05,0.3105,6
0.0216,-2.18204E-05,0.324,112,0.0216,-2.316319E-05,0.324,5
0.0225,-1.107805E-05,0.3375,114,0.0225,-1.644922E-05,0.3375,5
0.0234,-1.174945E-05,0.351,113,0.0234,5.706874E-06,0.351,5
0.0243,-2.517739E-05,0.3645,113,0.0243,1.611353E-05,0.3645,5
0.0252,-2.786297E-05,0.378,114,0.0252,-3.659113E-05,0.378,4
0.0261,-2.047761E-05,0.3915,113,0.0261,-2.786297E-05,0.3915,5
0.027,-2.652018E-05,0.405,114,0.027,-2.417029E-05,0.405,3
0.0279,-1.242084E-05,0.4185,113,0.0279,-4.33051E-05,0.4185,7
0.0288,-1.107805E-05,0.432,113,0.0288,-7.855344E-05,0.432,4
0.0297,-1.309224E-05,0.4455,113,0.0297,-1.745632E-05,0.4455,4
0.0306,-1.107805E-05,0.459,112,0.0306,4.46479E-05,0.459,3
0.0315,-1.510643E-05,0.4725,112,0.0315,-2.349889E-06,0.4725,5
0.0324,-2.383459E-05,0.486,113,0.0324,-4.33051E-05,0.486,5
0.0333,-2.484169E-05,0.4995,113,0.0333,4.39765E-05,0.4995,7
0.0342,-9.063859E-06,0.513,113,0.0342,1.577783E-05,0.513,5
0.0351,-1.846342E-05,0.5265,114,0.0351,-7.217517E-05,0.5265,5
0.036,-2.920577E-05,0.54,113,0.036,1.309224E-05,0.54,5
0.0369,-2.618448E-05,0.5535,114,0.0369,2.517739E-05,0.5535,4
0.0378,-5.136187E-05,0.567,114,0.0378,-6.277562E-05,0.567,5
0.0387,7.049668E-06,0.5805,113,0.0387,-5.639734E-05,0.5805,5
0.0396,-1.174945E-05,0.594,112,0.0396,1.107805E-05,0.594,8
0.0405,2.316319E-05,0.6075,112,0.0405,1.342794E-06,0.6075,6
0.0414,-1.510643E-05,0.621,111,0.0414,-2.18204E-05,0.621,2
0.0423,-2.517739E-05,0.6345,114,0.0423,-6.54612E-05,0.6345,2
0.0432,1.779202E-05,0.648,113,0.0432,7.721065E-06,0.648,2
0.0441,3.692683E-06,0.6615,115,0.0441,1.376364E-05,0.6615,2
0.045,-3.524834E-05,0.675,115,0.045,-4.666209E-05,0.675,0
0.0459,-1.544213E-05,0.6885,117,0.0459,-5.136187E-05,0.6885,0
0.0468,-1.275654E-05,0.702,118,0.0468,5.069047E-05,0.702,0
0.0477,-1.678492E-05,0.7155,119,0.0477,1.309224E-05,0.7155,1
0.0486,6.378271E-06,0.729,122,0.0486,-5.337606E-05,0.729,0
0.0495,2.349889E-06,0.7425,121,0.0495,1.309224E-05,0.7425,1
0.0504,-2.920577E-05,0.756,121,0.0504,4.196231E-05,0.756,-2
0.0513,-5.203327E-05,0.7695,122,0.0513,-3.457694E-05,0.7695,1
0.0522,3.189136E-05,0.783,121,0.0522,-7.049668E-06,0.783,1
0.0531,1.678492E-06,0.7965,120,0.0531,3.457694E-05,0.7965,2
0.054,-3.591974E-05,0.81,120,0.054,5.035477E-06,0.81,-1
0.0549,4.36408E-06,0.8235,119,0.0549,-2.349889E-06,0.8235,1
0.0558,-1.309224E-05,0.837,119,0.0558,-5.069047E-05,0.837,5
0.0567,-1.007095E-05,0.8505,120,0.0567,-2.316319E-05,0.8505,2
0.0576,-3.659113E-05,0.864,120,0.0576,-1.712062E-05,0.864,3
0.0585,-6.009003E-05,0.8775,119,0.0585,-4.46479E-05,0.8775,2
0.0594,-2.21561E-05,0.891,119,0.0594,-6.64683E-05,0.891,6
0.0603,9.735256E-06,0.9045,117,0.0603,2.1149E-05,0.9045,3
0.0612,-8.728161E-06,0.918,118,0.0612,-3.021286E-06,0.918,4
0.0621,-2.18204E-05,0.9315,119,0.0621,-8.224613E-05,0.9315,1
0.063,4.028382E-06,0.945,117,0.063,1.040665E-05,0.945,5
0.0639,5.471885E-05,0.9585,118,0.0639,1.174945E-05,0.9585,7
0.0648,5.706874E-06,0.972,118,0.0648,-6.042573E-05,0.972,4
0.0657,5.572595E-05,0.9855,118,0.0657,-5.001907E-05,0.9855,4
0.0666,6.143282E-05,0.999,119,0.0666,1.443504E-05,0.999,4
0.0675,3.189136E-05,1.0125,120,0.0675,1.174945E-05,1.0125,2
0.0684,1.510643E-05,1.026,117,0.0684,-9.063859E-06,1.026,4
0.0693,7.721065E-06,1.0395,117,0.0693,-5.270466E-05,1.0395,4
0.0702,1.242084E-05,1.053,117,0.0702,3.692683E-06,1.053,6
0.0711,-5.706874E-06,1.0665,116,0.0711,7.385367E-06,1.0665,5
0.072,3.356985E-07,1.08,117,0.072,-3.524834E-05,1.08,6
0.0729,-1.107805E-05,1.0935,117,0.0729,-6.445411E-05,1.0935,5
0.07380001,-3.356985E-06,1.107,118,0.07380001,1.577783E-05,1.107,5
0.07470001,7.385367E-06,1.1205,117,0.07470001,-5.035477E-06,1.1205,6
