X[s],"Trigno IM sensor 3: EMG 3 (IM)",X[s],"Trigno IM sensor 3: Mag 3.Z (IM)",X[s],"Trigno IM sensor 4: EMG 4 (IM)",X[s],"Trigno IM sensor 4: Mag 4.Z (IM)"
0.000000,-0.000102388,0.000000,122,0.000000,-6.61326E-05,0.000000,-1
0.0009,4.599069E-05,0.0135,125,0.0009,-2.047761E-05,0.0135,-3
0.0018,0.0001735561,0.027,123,0.0018,3.424125E-05,0.027,-1
0.0027,0.000144686,0.0405,122,0.0027,0.0001030594,0.0405,0
0.0036,-6.378271E-06,0.054,122,0.0036,7.284657E-05,0.054,-3
0.0045,-4.33051E-05,0.0675,123,0.0045,4.733349E-05,0.0675,-1
0.0054,-7.183947E-05,0.081,122,0.0054,6.64683E-05,0.081,-2
0.0063,-7.016098E-05,0.0945,123,0.0063,2.517739E-05,0.0945,-5
0.0072,7.318227E-05,0.108,123,0.0072,3.356985E-07,0.108,0
0.0081,0.0001060807,0.1215,123,0.0081,-2.18204E-05,0.1215,-4
0.009000001,2.349889E-06,0.135,123,0.009000001,-1.913481E-05,0.135,-2
0.0099,-5.169757E-05,0.1485,122,0.0099,-3.927672E-05,0.1485,-1
0.0108,-0.0001067521,0.162,124,0.0108,-0.0001087663,0.162,0
0.0117,-6.74754E-05,0.1755,122,0.0117,-0.0001483787,0.1755,-2
0.0126,-1.678492E-06,0.189,123,0.0126,-0.0001218585,0.189,-2
0.0135,1.846342E-05,0.2025,123,0.0135,-9.164568E-05,0.2025,-1
0.0144,1.779202E-05,0.216,124,0.0144,-8.023193E-05,0.216,-1
0.0153,7.049668E-06,0.2295,124,0.0153,-1.443504E-05,0.2295,-4
0.0162,9.063859E-06,0.243,123,0.0162,0.0001050736,0.243,-2
0.0171,8.82887E-05,0.2565,123,0.0171,0.0001748989,0.2565,-1
0.018,0.0001779202,0.27,123,0.018,7.217517E-05,0.27,-1
0.0189,0.0001299153,0.2835,121,0.0189,5.035477E-06,0.2835,-4
0.0198,5.606165E-05,0.297,123,0.0198,5.035477E-06,0.297,-3
0.0207,1.779202E-05,0.3105,123,0.0207,4.028382E-06,0.3105,-2
0.0216,-9.970245E-05,0.324,123,0.0216,-4.766919E-05,0.324,-3
0.0225,-0.0001507286,0.3375,124,0.0225,-6.74754E-05,0.3375,-5
0.0234,-1.443504E-05,0.351,124,0.0234,-9.936675E-05,0.351,-2
0.0243,1.510643E-05,0.3645,121,0.0243,-0.0001232013,0.3645,-4
0.0252,-5.404745E-05,0.378,123,0.0252,-0.0001010452,0.378,-2
0.0261,-7.217517E-05,0.3915,124,0.0261,-7.150377E-05,0.3915,-2
