X[s],"Trigno IM sensor 3: EMG 3 (IM)",X[s],"Trigno IM sensor 3: Mag 3.Z (IM)",X[s],"Trigno IM sensor 4: EMG 4 (IM)",X[s],"Trigno IM sensor 4: Mag 4.Z (IM)"
0.000000,-1.947051E-05,0.000000,116,0.000000,-2.450599E-05,0.000000,0
0.0009,-3.860533E-05,0.0135,116,0.0009,-4.36408E-06,0.0135,2
0.0018,-2.920577E-05,0.027,117,0.0018,2.920577E-05,0.027,3
0.0027,-1.409934E-05,0.0405,116,0.0027,7.721065E-06,0.0405,0
0.0036,1.376364E-05,0.054,116,0.0036,-3.088426E-05,0.054,2
0.0045,4.800488E-05,0.0675,116,0.0045,-3.256275E-05,0.0675,0
0.0054,7.083238E-05,0.081,116,0.0054,-5.807584E-05,0.081,2
0.0063,6.61326E-05,0.0945,116,0.0063,-5.001907E-05,0.0945,1
0.0072,3.054856E-05,0.108,114,0.0072,-3.289845E-05,0.108,0
0.0081,1.107805E-05,0.1215,115,0.0081,-1.913481E-05,0.1215,2
0.009000001,1.678492E-06,0.135,115,0.009000001,-3.524834E-05,0.135,0
0.0099,-2.349889E-06,0.1485,114,0.0099,-2.719158E-05,0.1485,0
0.0108,5.706874E-06,0.162,115,0.0108,-1.913481E-05,0.162,2
0.0117,-2.349889E-06,0.1755,117,0.0117,-3.256275E-05,0.1755,0
0.0126,-1.544213E-05,0.189,116,0.0126,-2.719158E-05,0.189,1
0.0135,1.007095E-05,0.2025,115,0.0135,1.342794E-06,0.2025,3
0.0144,-1.376364E-05,0.216,116,0.0144,-1.644922E-05,0.216,2
0.0153,-2.853437E-05,0.2295,116,0.0153,-2.887007E-05,0.2295,1
0.0162,1.409934E-05,0.243,115,0.0162,-9.063859E-06,0.243,1
0.0171,-4.632639E-05,0.2565,116,0.0171,-5.270466E-05,0.2565,1
0.018,-6.915389E-05,0.27,117,0.018,-3.726253E-05,0.27,0
0.0189,-5.874724E-05,0.2835,115,0.0189,-4.666209E-05,0.2835,1
0.0198,-3.826963E-05,0.297,117,0.0198,-3.121996E-05,0.297,1
0.0207,1.678492E-06,0.3105,116,0.0207,-1.309224E-05,0.3105,1
0.0216,-1.980621E-05,0.324,117,0.0216,-3.692683E-05,0.324,1
0.0225,6.378271E-06,0.3375,118,0.0225,-3.726253E-05,0.3375,1
0.0234,3.994812E-05,0.351,118,0.0234,-1.309224E-05,0.351,1
0.0243,2.24918E-05,0.3645,116,0.0243,-1.644922E-05,0.3645,2
0.0252,8.056763E-06,0.378,115,0.0252,-2.685588E-05,0.378,2
0.0261,8.392462E-06,0.3915,116,0.0261,-4.36408E-06,0.3915,0
0.027,1.376364E-05,0.405,116,0.027,-3.021286E-05,0.405,-2
0.0279,2.618448E-05,0.4185,117,0.0279,-2.18204E-05,0.4185,0
0.0288,-2.24918E-05,0.432,117,0.0288,-7.016098E-05,0.432,-1
0.0297,-3.390555E-05,0.4455,116,0.0297,-1.812772E-05,0.4455,4
0.0306,-2.24918E-05,0.459,116,0.0306,-3.021286E-06,0.459,1
0.0315,-3.356985E-07,0.4725,117,0.0315,-3.558404E-05,0.4725,0
0.0324,-1.443504E-05,0.486,116,0.0324,-5.337606E-05,0.486,0
0.0333,-1.913481E-05,0.4995,116,0.0333,1.040665E-05,0.4995,1
0.0342,-4.36408E-06,0.513,117,0.0342,-2.383459E-05,0.513,1
0.0351,-2.618448E-05,0.5265,118,0.0351,-5.807584E-05,0.5265,1
0.036,-7.721065E-06,0.54,116,0.036,2.047761E-05,0.54,2
0.0369,-2.853437E-05,0.5535,117,0.0369,-2.685588E-06,0.5535,0
0.0378,-6.478981E-05,0.567,117,0.0378,-5.203327E-05,0.567,0
0.0387,-0.0001131304,0.5805,118,0.0387,-5.471885E-05,0.5805,-2
0.0396,-7.956054E-05,0.594,117,0.0396,5.371176E-06,0.594,2
0.0405,-3.927672E-05,0.6075,117,0.0405,3.021286E-06,0.6075,0
0.0414,1.242084E-05,0.621,116,0.0414,6.378271E-06,0.621,0
0.0423,7.486076E-05,0.6345,116,0.0423,-4.632639E-05,0.6345,1
0.0432,0.0001225299,0.648,116,0.0432,-4.699779E-06,0.648,1
0.0441,5.136187E-05,0.6615,118,0.0441,1.510643E-05,0.6615,-1
0.045,-5.706874E-06,0.675,117,0.045,-8.728161E-06,0.675,0
0.0459,1.007095E-05,0.6885,116,0.0459,-3.591974E-05,0.6885,0
0.0468,-1.544213E-05,0.702,116,0.0468,3.088426E-05,0.702,1
0.0477,-6.009003E-05,0.7155,116,0.0477,2.316319E-05,0.7155,1
0.0486,-5.136187E-05,0.729,117,0.0486,-4.46479E-05,0.729,2
0.0495,-4.33051E-05,0.7425,115,0.0495,3.491264E-05,0.7425,1
0.0504,-1.879912E-05,0.756,117,0.0504,5.069047E-05,0.756,0
0.0513,-2.1149E-05,0.7695,117,0.0513,-3.356985E-05,0.7695,-1
0.0522,-2.014191E-05,0.783,116,0.0522,5.035477E-06,0.783,0
0.0531,-1.644922E-05,0.7965,116,0.0531,4.263371E-05,0.7965,-1
0.054,1.040665E-05,0.81,117,0.054,1.544213E-05,0.81,1
0.0549,1.846342E-05,0.8235,117,0.0549,-8.728161E-06,0.8235,1
0.0558,-4.36408E-06,0.837,117,0.0558,-4.263371E-05,0.837,0
0.0567,-1.376364E-05,0.8505,116,0.0567,-2.047761E-05,0.8505,-1
0.0576,1.443504E-05,0.864,117,0.0576,-6.915389E-05,0.864,0
0.0585,1.376364E-05,0.8775,117,0.0585,-0.0001044022,0.8775,1
0.0594,2.987716E-05,0.891,116,0.0594,-0.0001003738,0.891,1
0.0603,3.524834E-05,0.9045,117,0.0603,-2.786297E-05,0.9045,1
0.0612,3.659113E-05,0.918,116,0.0612,-8.392462E-06,0.918,0
0.0621,2.786297E-05,0.9315,116,0.0621,-1.477073E-05,0.9315,0
0.063,4.800488E-05,0.945,116,0.063,3.088426E-05,0.945,-1
0.0639,-2.887007E-05,0.9585,116,0.0639,1.846342E-05,0.9585,0
0.0648,-6.042573E-05,0.972,117,0.0648,-5.539025E-05,0.972,-2
0.0657,6.042573E-06,0.9855,118,0.0657,-1.947051E-05,0.9855,0
0.0666,-9.063859E-06,0.999,117,0.0666,-1.208515E-05,0.999,1
0.0675,-2.1149E-05,1.0125,117,0.0675,-3.323415E-05,1.0125,0
0.0684,3.356985E-07,1.026,117,0.0684,-3.021286E-05,1.026,0
0.0693,3.323415E-05,1.0395,117,0.0693,-6.277562E-05,1.0395,0
0.0702,3.021286E-06,1.053,118,0.0702,7.721065E-06,1.053,1
0.0711,2.047761E-05,1.0665,119,0.0711,4.49836E-05,1.0665,1
0.072,1.577783E-05,1.08,119,0.072,-2.618448E-05,1.08,3
