X[s],"Trigno IM sensor 3: EMG 3 (IM)",X[s],"Trigno IM sensor 3: Mag 3.Z (IM)",X[s],"Trigno IM sensor 4: EMG 4 (IM)",X[s],"Trigno IM sensor 4: Mag 4.Z (IM)"
0.000000,7.385367E-06,0.000000,121,0.000000,-7.217517E-05,0.000000,-1
0.0009,2.853437E-05,0.0135,122,0.0009,-3.121996E-05,0.0135,0
0.0018,4.901198E-05,0.027,122,0.0018,-5.169757E-05,0.027,-1
0.0027,5.572595E-05,0.0405,121,0.0027,-7.016098E-05,0.0405,-1
0.0036,4.028382E-05,0.054,120,0.0036,-7.385367E-05,0.054,0
0.0045,-8.627451E-05,0.0675,121,0.0045,-0.0001715419,0.0675,-1
0.0054,-9.835965E-05,0.081,121,0.0054,-0.0002081331,0.081,0
0.0063,-2.383459E-05,0.0945,122,0.0063,-0.0001799344,0.0945,-1
0.0072,-1.779202E-05,0.108,121,0.0072,-0.0001500572,0.108,-1
0.0081,4.263371E-05,0.1215,121,0.0081,-3.256275E-05,0.1215,0
0.009000001,7.486076E-05,0.135,120,0.009000001,0.000126894,0.135,0
0.0099,8.92958E-05,0.1485,120,0.0099,9.433127E-05,0.1485,0
0.0108,0.0001013809,0.162,120,0.0108,-1.913481E-05,0.162,1
0.0117,-4.162661E-05,0.1755,123,0.0117,-4.33051E-05,0.1755,0
0.0126,-8.996719E-05,0.189,121,0.0126,-0.000109102,0.189,-2
0.0135,0.0001453574,0.2025,120,0.0135,-8.96315E-05,0.2025,-1
0.0144,8.560311E-05,0.216,121,0.0144,-7.888914E-05,0.216,-2
0.0153,-8.023193E-05,0.2295,121,0.0153,-7.687495E-05,0.2295,-3
0.0162,-0.0001077592,0.243,121,0.0162,-4.028382E-05,0.243,0
0.0171,-8.89601E-05,0.2565,121,0.0171,1.510643E-05,0.2565,-2
0.018,-5.270466E-05,0.27,121,0.018,5.136187E-05,0.27,-2
0.0189,-8.627451E-05,0.2835,120,0.0189,-3.356985E-06,0.2835,-3
0.0198,-2.383459E-05,0.297,120,0.0198,-7.620356E-05,0.297,-4
0.0207,2.517739E-05,0.3105,121,0.0207,-2.920577E-05,0.3105,-1
0.0216,7.049668E-06,0.324,123,0.0216,-4.766919E-05,0.324,-4
0.0225,-3.793393E-05,0.3375,122,0.0225,-9.802396E-05,0.3375,-2
0.0234,-2.047761E-05,0.351,120,0.0234,-8.224613E-05,0.351,-1
0.0243,-2.450599E-05,0.3645,122,0.0243,-7.150377E-05,0.3645,-2
0.0252,-7.586786E-05,0.378,121,0.0252,-3.793393E-05,0.378,-2
