X[s],"R TIBIALIS ANTERIOR: EMG 1",X[s],"R TIBIALIS ANTERIOR: ACC X 1",X[s],"R TIBIALIS ANTERIOR: ACC Y 1",X[s],"R TIBIALIS ANTERIOR: ACC Z 1",X[s],"R PERONEUS LONGUS: EMG 2",X[s],"R PERONEUS LONGUS: ACC X 2",X[s],"R PERONEUS LONGUS: ACC Y 2",X[s],"R PERONEUS LONGUS: ACC Z 2",X[s],"R GASTROCNEMIUS: EMG 3",X[s],"R GASTROCNEMIUS: ACC X 3",X[s],"R GASTROCNEMIUS: ACC Y 3",X[s],"R GASTROCNEMIUS: ACC Z 3",X[s],"R RECTUS FEMORIS: EMG 4",X[s],"R RECTUS FEMORIS: ACC X 4",X[s],"R RECTUS FEMORIS: ACC Y 4",X[s],"R RECTUS FEMORIS: ACC Z 4",X[s],"R_Tibia: EMG 5 (IM)",X[s],"R_Tibia: ACC X 5 (IM)",X[s],"R_Tibia: ACC Y 5 (IM)",X[s],"R_Tibia: ACC Z 5 (IM)",X[s],"R_Tibia: Gyro X 5 (IM)",X[s],"R_Tibia: Gyro Y 5 (IM)",X[s],"R_Tibia: Gyro Z 5 (IM)",X[s],"R_Tibia: Mag X 5 (IM)",X[s],"R_Tibia: Mag Y 5 (IM)",X[s],"R_Tibia: Mag Z 5 (IM)",X[s],"R_Foot_Switch: EMG 16",X[s],"R_Foot_Switch: ACC X 16",X[s],"R_Foot_Switch: ACC Y 16",X[s],"R_Foot_Switch: ACC Z 16"
0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0.7166154,0.000000,0.7166154,0.000000,0.7166154,0.000000,0.7166154
0.0005192308,0,0.00675,0,0.00675,0,0.00675,0,0.0005192308,0,0.00675,0,0.00675,0,0.00675,0,0.0005192308,0,0.00675,0,0.00675,0,0.00675,0,0.0005192308,0,0.00675,0,0.00675,0,0.00675,0,0.0009,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.0135,0,0.0135,0,0.0135,0,0.0005192308,0.7166154,0.00675,0.7166154,0.00675,0.7166154,0.00675,0.7166154
0.001038462,0,0.0135,0,0.0135,0,0.0135,0,0.001038462,0,0.0135,0,0.0135,0,0.0135,0,0.001038462,0,0.0135,0,0.0135,0,0.0135,0,0.001038462,0,0.0135,0,0.0135,0,0.0135,0,0.0018,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.027,0,0.027,0,0.027,0,0.001038462,0.7166154,0.0135,0.7166154,0.0135,0.7166154,0.0135,0.7166154
0.001557692,0,0.02025,0,0.02025,0,0.02025,0,0.001557692,0,0.02025,0,0.02025,0,0.02025,0,0.001557692,0,0.02025,0,0.02025,0,0.02025,0,0.001557692,0,0.02025,0,0.02025,0,0.02025,0,0.0027,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.0405,-93.2,0.0405,4.6,0.0405,60.5,0.001557692,0.7166154,0.02025,0.7166154,0.02025,0.7166154,0.02025,0.7166154
0.002076923,0,0.027,0,0.027,0,0.027,0,0.002076923,0,0.027,0,0.027,0,0.027,0,0.002076923,0,0.027,0,0.027,0,0.027,0,0.002076923,0,0.027,0,0.027,0,0.027,0,0.0036,0,0.027,0,0.027,0,0.027,0,0.027,0,0.027,0,0.027,0,0.054,-95.9,0.054,4.8,0.054,70.5,0.002076923,0.7166154,0.027,0.7166154,0.027,0.7166154,0.027,0.7166154
0.002596154,0,0.03375,0,0.03375,0,0.03375,0,0.002596154,0,0.03375,0,0.03375,0,0.03375,0,0.002596154,0,0.03375,0,0.03375,0,0.03375,0,0.002596154,0,0.03375,0,0.03375,0,0.03375,0,0.0045,0,0.03375,0,0.03375,0,0.03375,0,0.03375,0,0.03375,0,0.03375,0,0.0675,-95.5,0.0675,4.7,0.0675,74.2,0.002596154,0.7166154,0.03375,0.7166154,0.03375,0.7166154,0.03375,0.7166154
0.003115385,0,0.0405,-1.382574,0.0405,0.5783513,0.0405,0.7495052,0.003115385,0,0.0405,-1.100708,0.0405,0.7483257,0.0405,-0.2931378,0.003115385,0,0.0405,0.02006192,0.0405,-0.9563421,0.0405,-0.4573403,0.003115385,0,0.0405,-0.2378636,0.0405,0.08363053,0.0405,0.03241969,0.0054,0,0.0405,0.3349609,0.0405,-2.205566,0.0405,-0.9013672,0.0405,444.939,0.0405,12.7439,0.0405,20,0.081,-95.2,0.081,5.3,0.081,80,0.003115385,0.7166154,0.0405,-48.46683,0.0405,-48.46683,0.0405,-48.46683
0.003634615,0,0.04725,-1.438516,0.04725,0.8331493,0.04725,0.6273034,0.003634615,0,0.04725,-1.14395,0.04725,0.9598943,0.04725,-0.1262121,0.003634615,0,0.04725,-0.1685201,0.04725,-0.6284534,0.04725,-0.2060092,0.003634615,0,0.04725,-0.2140772,0.04725,0.07964813,0.04725,0.03647215,0.0063,0,0.04725,0.4165039,0.04725,-2.196289,0.04725,-0.9682617,0.04725,450.7317,0.04725,-13.17073,0.04725,16.15854,0.0945,-95.2,0.0945,5.5,0.0945,83,0.003634615,0.7166154,0.04725,-48.46683,0.04725,-48.46683,0.04725,-48.46683
0.004153846,0,0.054,-1.290669,0.054,0.9099932,0.054,0.460294,0.004153846,0,0.054,-1.061397,0.054,0.9050432,0.054,-0.08956987,0.004153846,0,0.054,-0.585808,0.054,-0.3435025,0.054,0.04120183,0.004153846,0,0.054,-0.2140772,0.054,0,0.054,0.06889184,0.0072,0,0.054,0.3891602,0.054,-2.087891,0.054,-1.026855,0.054,446.2195,0.054,-18.84146,0.054,7.012195,0.108,-94.2,0.108,6,0.108,86.2,0.004153846,0.7166154,0.054,-48.46683,0.054,-48.46683,0.054,-48.46683
0.004673077,0,0.06075,-1.078887,0.06075,0.7765275,0.06075,0.4114133,0.004673077,0,0.06075,-0.9749127,0.06075,0.5955262,0.06075,-0.2524242,0.004673077,0,0.06075,-1.119455,0.06075,-0.06635843,0.06075,0.09064402,0.004673077,0,0.06075,-0.2378636,0.06075,-0.1035426,0.06075,0.1013115,0.0081,0,0.06075,0.3076172,0.06075,-1.990723,0.06075,-1.116699,0.06075,420.3659,0.06075,7.743903,0.06075,0.4878049,0.1215,-94.4,0.1215,6.6,0.1215,89,0.004673077,0.7166154,0.06075,-48.46683,0.06075,-48.46683,0.06075,-48.46683
