X[s],"Trigno IM sensor 3: EMG 3 (IM)",X[s],"Trigno IM sensor 3: Mag 3.Z (IM)",X[s],"Trigno IM sensor 4: EMG 4 (IM)",X[s],"Trigno IM sensor 4: Mag 4.Z (IM)"
0.000000,-3.994812E-05,0.000000,123,0.000000,-2.047761E-05,0.000000,-3
0.0009,-0.0001205158,0.0135,124,0.0009,-3.323415E-05,0.0135,-2
0.0018,-0.0001111162,0.027,124,0.0018,-1.712062E-05,0.027,-1
0.0027,-6.076142E-05,0.0405,123,0.0027,-2.316319E-05,0.0405,-2
0.0036,7.049668E-06,0.054,123,0.0036,-1.208515E-05,0.054,-3
0.0045,5.539025E-05,0.0675,121,0.0045,-6.478981E-05,0.0675,0
0.0054,2.685588E-06,0.081,123,0.0054,-0.0001319295,0.081,-1
0.0063,9.433127E-05,0.0945,122,0.0063,-0.0001138018,0.0945,-3
0.0072,7.385367E-06,0.108,122,0.0072,-7.150377E-05,0.108,-2
0.0081,-0.0001997406,0.1215,121,0.0081,-7.116808E-05,0.1215,-2
0.009000001,-0.0001560998,0.135,122,0.009000001,-1.510643E-05,0.135,0
0.0099,-4.968337E-05,0.1485,123,0.0099,7.452507E-05,0.1485,-1
0.0108,-2.584878E-05,0.162,122,0.0108,7.486076E-05,0.162,-4
0.0117,6.411841E-05,0.1755,122,0.0117,4.43122E-05,0.1755,-1
0.0126,0.0001607996,0.189,122,0.0126,5.069047E-05,0.189,0
0.0135,0.0001097734,0.2025,123,0.0135,4.061952E-05,0.2025,-4
0.0144,-3.692683E-06,0.216,123,0.0144,7.721065E-06,0.216,-4
0.0153,-3.994812E-05,0.2295,124,0.0153,6.713969E-07,0.2295,-1
0.0162,-0.0001426719,0.243,122,0.0162,-0.000109102,0.243,-2
0.0171,-0.0001379721,0.2565,122,0.0171,-0.0001876554,0.2565,-5
0.018,-2.484169E-05,0.27,122,0.018,-0.0001567712,0.27,-2
0.0189,5.337606E-05,0.2835,123,0.0189,-9.365987E-05,0.2835,0
0.0198,6.344701E-05,0.297,123,0.0198,6.042573E-06,0.297,-2
